"","td","code","target"
"1","T001","A005",0
"2","T001","A006",2
"3","T001","A007",0
"4","T001","A011",4
"5","T001","A012",4
"6","T001","A017",3
"7","T001","A019",1
"8","T001","A021",3
"9","T001","A024",2
"10","T001","A029",1
"11","T001","A030",1
"12","T001","A031",3
"13","T001","A032",4
"14","T001","A034",3
"15","T001","A037",3
"16","T001","A038",2
"17","T001","A039",4
"18","T001","A041",2
"19","T001","A043",2
"20","T001","A045",1
"21","T001","A046",1
"22","T001","A050",0
"23","T001","A051",4
"24","T001","A060",3
"25","T001","A062",4
"26","T001","A066",0
"27","T001","A067",1
"28","T001","A069",2
"29","T001","A071",2
"30","T001","A072",2
"31","T001","A074",0
"32","T001","A076",3
"33","T001","A078",0
"34","T001","A080",3
"35","T001","A082",0
"36","T001","A086",1
"37","T001","A087",4
"38","T001","A092",0
"39","T001","A094",2
"40","T001","A101",0
"41","T001","A106",0
"42","T001","A108",1
"43","T001","A110",3
"44","T001","A111",4
"45","T001","A115",3
"46","T001","A116",3
"47","T001","A117",3
"48","T001","A118",1
"49","T001","A122",3
"50","T001","A124",4
"51","T001","A127",4
"52","T001","A128",1
"53","T001","A132",0
"54","T001","A135",1
"55","T001","A144",3
"56","T001","A145",1
"57","T001","A147",0
"58","T001","A154",4
"59","T001","A158",2
"60","T001","A159",0
"61","T001","A165",3
"62","T001","A168",2
"63","T001","A172",4
"64","T001","A175",3
"65","T001","A179",2
"66","T001","A181",2
"67","T001","A184",0
"68","T001","A185",4
"69","T001","A194",0
"70","T001","A196",2
"71","T001","A197",2
"72","T001","A202",1
"73","T001","A204",2
"74","T001","A205",2
"75","T001","A206",4
"76","T001","A207",1
"77","T001","A210",3
"78","T001","A214",1
"79","T001","A216",3
"80","T001","A217",4
"81","T001","A219",4
"82","T001","A222",2
"83","T001","A223",4
"84","T001","A230",0
"85","T001","A232",4
"86","T001","A236",3
"87","T001","A237",3
"88","T001","A238",4
"89","T001","A239",3
"90","T001","A244",1
"91","T001","A245",2
"92","T001","A249",0
"93","T001","A250",0
"94","T001","A252",4
"95","T001","A253",3
"96","T001","A254",1
"97","T001","A257",1
"98","T001","A260",2
"99","T001","A261",2
"100","T001","A265",1
"101","T001","A270",2
"102","T001","A271",0
"103","T001","A272",0
"104","T001","A280",4
"105","T001","A284",1
"106","T001","A287",0
"107","T001","A298",1
"108","T001","A302",3
"109","T001","A303",2
"110","T001","A305",2
"111","T001","A306",1
"112","T001","A308",3
"113","T001","A310",3
"114","T001","A314",0
"115","T001","A319",0
"116","T001","A320",3
"117","T001","A322",1
"118","T001","A324",4
"119","T001","A325",2
"120","T001","A327",3
"121","T001","A328",1
"122","T001","A329",4
"123","T001","A333",1
"124","T001","A340",2
"125","T001","A343",2
"126","T001","A347",2
"127","T001","A349",3
"128","T001","A352",0
"129","T001","A355",4
"130","T001","A358",1
"131","T001","A360",3
"132","T001","A361",1
"133","T001","A363",3
"134","T001","A365",4
"135","T001","A366",1
"136","T001","A369",4
"137","T001","A370",0
"138","T001","A376",1
"139","T001","A377",0
"140","T001","A378",0
"141","T001","A379",3
"142","T001","A390",0
"143","T001","A391",2
"144","T001","A392",3
"145","T001","A394",2
"146","T001","A399",0
"147","T001","A400",1
"148","T001","A409",2
"149","T001","A410",3
"150","T001","A419",1
"151","T001","A421",3
"152","T001","A422",4
"153","T001","A424",1
"154","T001","A426",4
"155","T001","A429",0
"156","T001","A432",2
"157","T001","A433",2
"158","T001","A434",1
"159","T001","A437",2
"160","T001","A442",0
"161","T001","A443",4
"162","T001","A444",2
"163","T001","A445",0
"164","T001","A447",3
"165","T001","A455",0
"166","T001","A457",3
"167","T001","A462",2
"168","T001","A464",4
"169","T001","A468",0
"170","T001","A469",0
"171","T001","A473",2
"172","T001","A478",4
"173","T001","A483",1
"174","T001","A485",4
"175","T001","A488",2
"176","T001","A489",1
"177","T001","A491",4
"178","T001","A496",3
"179","T001","A497",4
"180","T001","A501",0
"181","T001","A502",3
"182","T001","A504",4
"183","T001","A505",1
"184","T001","A506",1
"185","T001","A507",2
"186","T001","A509",0
"187","T001","A513",4
"188","T001","A514",3
"189","T001","A517",0
"190","T001","A518",1
"191","T001","A520",1
"192","T001","A522",3
"193","T001","A523",4
"194","T001","A529",0
"195","T001","A530",1
"196","T001","A537",4
"197","T001","A538",4
"198","T001","A540",1
"199","T001","A541",3
"200","T001","A548",4
"201","T001","A551",0
"202","T001","A552",2
"203","T001","A553",3
"204","T001","A557",1
"205","T001","A558",4
"206","T001","A564",1
"207","T001","A566",4
"208","T001","A574",1
"209","T001","A581",1
"210","T001","A587",2
"211","T001","A591",2
"212","T001","A594",0
"213","T001","A599",4
"214","T001","A606",1
"215","T001","A609",0
"216","T001","A610",0
"217","T001","A614",3
"218","T001","A616",3
"219","T001","A618",3
"220","T001","A619",2
"221","T001","A620",0
"222","T001","A626",1
"223","T001","A627",2
"224","T001","A628",2
"225","T001","A636",4
"226","T001","A637",0
"227","T001","A639",2
"228","T001","A640",4
"229","T001","A641",3
"230","T001","A643",1
"231","T001","A645",3
"232","T001","A647",1
"233","T001","A648",2
"234","T001","A649",0
"235","T001","A652",3
"236","T001","A653",2
"237","T001","A658",4
"238","T001","A659",4
"239","T001","A662",0
"240","T001","A663",4
"241","T001","A664",4
"242","T001","A666",2
"243","T001","A668",2
"244","T001","A670",0
"245","T001","A673",3
"246","T001","A675",0
"247","T001","A683",4
"248","T001","A687",1
"249","T001","A688",0
"250","T001","A690",4
"251","T001","A692",4
"252","T001","A694",0
"253","T001","A696",3
"254","T001","A697",2
"255","T001","A698",1
"256","T001","A699",4
"257","T001","A701",2
"258","T001","A708",1
"259","T001","A709",2
"260","T001","A711",4
"261","T001","A713",0
"262","T001","A719",2
"263","T001","A722",3
"264","T001","A724",1
"265","T001","A727",1
"266","T001","A732",0
"267","T001","A733",0
"268","T001","A734",3
"269","T001","A736",1
"270","T001","A738",0
"271","T001","A740",1
"272","T001","A745",0
"273","T001","A746",4
"274","T001","A747",2
"275","T001","A752",1
"276","T001","A753",2
"277","T001","A759",4
"278","T001","A766",1
"279","T001","A772",0
"280","T001","A773",3
"281","T001","A775",3
"282","T001","A776",4
"283","T001","A778",2
"284","T001","A779",0
"285","T001","A786",3
"286","T001","A788",3
"287","T001","A789",3
"288","T001","A794",4
"289","T001","A795",3
"290","T002","A005",1
"291","T002","A006",2
"292","T002","A007",4
"293","T002","A011",0
"294","T002","A012",0
"295","T002","A017",4
"296","T002","A019",4
"297","T002","A021",0
"298","T002","A024",4
"299","T002","A030",4
"300","T002","A031",0
"301","T002","A032",4
"302","T002","A034",2
"303","T002","A037",0
"304","T002","A038",3
"305","T002","A039",2
"306","T002","A041",1
"307","T002","A043",4
"308","T002","A045",0
"309","T002","A046",1
"310","T002","A050",4
"311","T002","A051",1
"312","T002","A060",0
"313","T002","A062",3
"314","T002","A066",3
"315","T002","A067",4
"316","T002","A069",0
"317","T002","A071",0
"318","T002","A072",3
"319","T002","A074",2
"320","T002","A076",0
"321","T002","A078",4
"322","T002","A080",2
"323","T002","A086",2
"324","T002","A087",4
"325","T002","A092",4
"326","T002","A094",4
"327","T002","A101",3
"328","T002","A106",0
"329","T002","A108",3
"330","T002","A110",4
"331","T002","A111",1
"332","T002","A115",3
"333","T002","A116",1
"334","T002","A117",3
"335","T002","A118",1
"336","T002","A122",3
"337","T002","A124",0
"338","T002","A127",3
"339","T002","A128",0
"340","T002","A132",1
"341","T002","A135",3
"342","T002","A144",2
"343","T002","A145",2
"344","T002","A147",0
"345","T002","A154",4
"346","T002","A158",2
"347","T002","A159",4
"348","T002","A165",4
"349","T002","A168",1
"350","T002","A172",2
"351","T002","A175",3
"352","T002","A179",4
"353","T002","A181",3
"354","T002","A184",3
"355","T002","A185",1
"356","T002","A188",3
"357","T002","A191",2
"358","T002","A194",0
"359","T002","A196",1
"360","T002","A197",0
"361","T002","A202",4
"362","T002","A204",1
"363","T002","A205",0
"364","T002","A206",4
"365","T002","A207",2
"366","T002","A210",1
"367","T002","A214",2
"368","T002","A216",2
"369","T002","A217",1
"370","T002","A219",2
"371","T002","A222",3
"372","T002","A223",1
"373","T002","A230",1
"374","T002","A232",1
"375","T002","A236",2
"376","T002","A237",4
"377","T002","A238",3
"378","T002","A239",3
"379","T002","A244",1
"380","T002","A245",1
"381","T002","A249",0
"382","T002","A250",0
"383","T002","A252",0
"384","T002","A253",2
"385","T002","A254",0
"386","T002","A257",1
"387","T002","A260",4
"388","T002","A261",1
"389","T002","A265",2
"390","T002","A270",0
"391","T002","A271",3
"392","T002","A272",0
"393","T002","A280",1
"394","T002","A284",2
"395","T002","A287",3
"396","T002","A298",2
"397","T002","A302",0
"398","T002","A303",3
"399","T002","A305",3
"400","T002","A306",2
"401","T002","A308",3
"402","T002","A310",3
"403","T002","A314",4
"404","T002","A318",0
"405","T002","A319",1
"406","T002","A320",2
"407","T002","A322",0
"408","T002","A324",3
"409","T002","A325",4
"410","T002","A327",4
"411","T002","A328",0
"412","T002","A329",0
"413","T002","A333",0
"414","T002","A340",3
"415","T002","A343",2
"416","T002","A349",0
"417","T002","A352",1
"418","T002","A355",0
"419","T002","A358",1
"420","T002","A360",1
"421","T002","A361",3
"422","T002","A363",4
"423","T002","A365",4
"424","T002","A366",4
"425","T002","A369",0
"426","T002","A370",0
"427","T002","A376",4
"428","T002","A377",2
"429","T002","A378",2
"430","T002","A379",1
"431","T002","A390",2
"432","T002","A391",3
"433","T002","A392",0
"434","T002","A394",4
"435","T002","A399",1
"436","T002","A400",2
"437","T002","A401",0
"438","T002","A410",2
"439","T002","A417",4
"440","T002","A419",0
"441","T002","A421",2
"442","T002","A422",1
"443","T002","A424",4
"444","T002","A426",2
"445","T002","A429",0
"446","T002","A430",0
"447","T002","A432",3
"448","T002","A433",1
"449","T002","A437",1
"450","T002","A442",4
"451","T002","A443",2
"452","T002","A444",4
"453","T002","A445",2
"454","T002","A447",2
"455","T002","A455",0
"456","T002","A457",2
"457","T002","A462",1
"458","T002","A464",1
"459","T002","A468",0
"460","T002","A469",4
"461","T002","A473",0
"462","T002","A478",2
"463","T002","A483",2
"464","T002","A485",3
"465","T002","A488",3
"466","T002","A489",3
"467","T002","A491",1
"468","T002","A494",4
"469","T002","A496",4
"470","T002","A497",4
"471","T002","A501",0
"472","T002","A502",4
"473","T002","A504",0
"474","T002","A505",4
"475","T002","A506",4
"476","T002","A507",3
"477","T002","A509",2
"478","T002","A513",4
"479","T002","A514",0
"480","T002","A517",1
"481","T002","A518",2
"482","T002","A520",0
"483","T002","A522",1
"484","T002","A523",0
"485","T002","A529",1
"486","T002","A530",1
"487","T002","A537",4
"488","T002","A538",1
"489","T002","A540",3
"490","T002","A541",1
"491","T002","A548",2
"492","T002","A551",3
"493","T002","A552",2
"494","T002","A553",1
"495","T002","A557",0
"496","T002","A558",1
"497","T002","A564",0
"498","T002","A565",4
"499","T002","A566",2
"500","T002","A574",3
"501","T002","A581",4
"502","T002","A587",2
"503","T002","A591",3
"504","T002","A594",4
"505","T002","A599",4
"506","T002","A606",0
"507","T002","A609",2
"508","T002","A610",3
"509","T002","A614",3
"510","T002","A616",4
"511","T002","A618",3
"512","T002","A619",0
"513","T002","A620",2
"514","T002","A627",2
"515","T002","A628",0
"516","T002","A636",3
"517","T002","A637",3
"518","T002","A640",2
"519","T002","A641",0
"520","T002","A643",2
"521","T002","A645",2
"522","T002","A647",3
"523","T002","A648",1
"524","T002","A649",3
"525","T002","A652",0
"526","T002","A653",2
"527","T002","A658",3
"528","T002","A659",4
"529","T002","A662",4
"530","T002","A663",4
"531","T002","A664",2
"532","T002","A666",3
"533","T002","A668",2
"534","T002","A670",1
"535","T002","A673",3
"536","T002","A675",1
"537","T002","A683",0
"538","T002","A687",1
"539","T002","A688",3
"540","T002","A690",1
"541","T002","A692",3
"542","T002","A694",1
"543","T002","A696",1
"544","T002","A697",1
"545","T002","A698",3
"546","T002","A699",3
"547","T002","A701",4
"548","T002","A702",0
"549","T002","A708",3
"550","T002","A709",3
"551","T002","A711",1
"552","T002","A713",3
"553","T002","A719",1
"554","T002","A722",3
"555","T002","A724",1
"556","T002","A727",1
"557","T002","A732",0
"558","T002","A733",2
"559","T002","A734",1
"560","T002","A736",2
"561","T002","A738",2
"562","T002","A740",4
"563","T002","A745",1
"564","T002","A746",3
"565","T002","A747",2
"566","T002","A752",4
"567","T002","A753",0
"568","T002","A759",3
"569","T002","A766",2
"570","T002","A769",3
"571","T002","A772",1
"572","T002","A773",2
"573","T002","A775",2
"574","T002","A776",4
"575","T002","A778",0
"576","T002","A779",4
"577","T002","A786",1
"578","T002","A788",4
"579","T002","A789",0
"580","T002","A794",4
"581","T002","A795",4
"582","T003","A005",2
"583","T003","A006",0
"584","T003","A007",2
"585","T003","A011",2
"586","T003","A012",1
"587","T003","A017",4
"588","T003","A019",0
"589","T003","A021",4
"590","T003","A024",4
"591","T003","A030",3
"592","T003","A031",2
"593","T003","A032",0
"594","T003","A034",2
"595","T003","A037",2
"596","T003","A038",0
"597","T003","A039",0
"598","T003","A041",4
"599","T003","A043",1
"600","T003","A045",1
"601","T003","A046",2
"602","T003","A050",3
"603","T003","A051",1
"604","T003","A054",0
"605","T003","A060",0
"606","T003","A062",0
"607","T003","A066",0
"608","T003","A067",4
"609","T003","A069",2
"610","T003","A071",1
"611","T003","A072",0
"612","T003","A074",2
"613","T003","A076",2
"614","T003","A078",2
"615","T003","A080",1
"616","T003","A086",3
"617","T003","A087",4
"618","T003","A092",1
"619","T003","A094",1
"620","T003","A101",2
"621","T003","A106",1
"622","T003","A108",1
"623","T003","A110",0
"624","T003","A111",1
"625","T003","A115",4
"626","T003","A116",4
"627","T003","A117",3
"628","T003","A118",3
"629","T003","A122",4
"630","T003","A124",3
"631","T003","A127",4
"632","T003","A132",0
"633","T003","A135",2
"634","T003","A144",1
"635","T003","A145",3
"636","T003","A147",2
"637","T003","A154",2
"638","T003","A158",2
"639","T003","A159",0
"640","T003","A165",0
"641","T003","A168",1
"642","T003","A172",0
"643","T003","A175",3
"644","T003","A179",4
"645","T003","A181",4
"646","T003","A184",1
"647","T003","A185",2
"648","T003","A188",3
"649","T003","A191",4
"650","T003","A194",0
"651","T003","A196",3
"652","T003","A197",2
"653","T003","A202",0
"654","T003","A204",1
"655","T003","A205",2
"656","T003","A206",4
