td,code,target
T001,A005,0
T001,A006,2
T001,A007,0
T001,A011,4
T001,A012,4
T001,A017,3
T001,A019,1
T001,A021,3
T001,A024,2
T001,A029,1
T001,A030,1
T001,A031,3
T001,A032,4
T001,A034,3
T001,A037,3
T001,A038,2
T001,A039,4
T001,A041,2
T001,A043,2
T001,A045,1
T001,A046,1
T001,A050,0
T001,A051,4
T001,A060,3
T001,A062,4
T001,A066,0
T001,A067,1
T001,A069,2
T001,A071,2
T001,A072,2
T001,A074,0
T001,A076,3
T001,A078,0
T001,A080,3
T001,A082,0
T001,A086,1
T001,A087,4
T001,A092,0
T001,A094,2
T001,A101,0
T001,A106,0
T001,A108,1
T001,A110,3
T001,A111,4
T001,A115,3
T001,A116,3
T001,A117,3
T001,A118,1
T001,A122,3
T001,A124,4
T001,A127,4
T001,A128,1
T001,A132,0
T001,A135,1
T001,A144,3
T001,A145,1
T001,A147,0
T001,A154,4
T001,A158,2
T001,A159,0
T001,A165,3
T001,A168,2
T001,A172,4
T001,A175,3
T001,A179,2
T001,A181,2
T001,A184,0
T001,A185,4
T001,A194,0
T001,A196,2
T001,A197,2
T001,A202,1
T001,A204,2
T001,A205,2
T001,A206,4
T001,A207,1
T001,A210,3
T001,A214,1
T001,A216,3
T001,A217,4
T001,A219,4
T001,A222,2
T001,A223,4
T001,A230,0
T001,A232,4
T001,A236,3
T001,A237,3
T001,A238,4
T001,A239,3
T001,A244,1
T001,A245,2
T001,A249,0
T001,A250,0
T001,A252,4
T001,A253,3
T001,A254,1
T001,A257,1
T001,A260,2
T001,A261,2
T001,A265,1
T001,A270,2
T001,A271,0
T001,A272,0
T001,A280,4
T001,A284,1
T001,A287,0
T001,A298,1
T001,A302,3
T001,A303,2
T001,A305,2
T001,A306,1
T001,A308,3
T001,A310,3
T001,A314,0
T001,A319,0
T001,A320,3
T001,A322,1
T001,A324,4
T001,A325,2
T001,A327,3
T001,A328,1
T001,A329,4
T001,A333,1
T001,A340,2
T001,A343,2
T001,A347,2
T001,A349,3
T001,A352,0
T001,A355,4
T001,A358,1
T001,A360,3
T001,A361,1
T001,A363,3
T001,A365,4
T001,A366,1
T001,A369,4
T001,A370,0
T001,A376,1
T001,A377,0
T001,A378,0
T001,A379,3
T001,A390,0
T001,A391,2
T001,A392,3
T001,A394,2
T001,A399,0
T001,A400,1
T001,A409,2
T001,A410,3
T001,A419,1
T001,A421,3
T001,A422,4
T001,A424,1
T001,A426,4
T001,A429,0
T001,A432,2
T001,A433,2
T001,A434,1
T001,A437,2
T001,A442,0
T001,A443,4
T001,A444,2
T001,A445,0
T001,A447,3
T001,A455,0
T001,A457,3
T001,A462,2
T001,A464,4
T001,A468,0
T001,A469,0
T001,A473,2
T001,A478,4
T001,A483,1
T001,A485,4
T001,A488,2
T001,A489,1
T001,A491,4
T001,A496,3
T001,A497,4
T001,A501,0
T001,A502,3
T001,A504,4
T001,A505,1
T001,A506,1
T001,A507,2
T001,A509,0
T001,A513,4
T001,A514,3
T001,A517,0
T001,A518,1
T001,A520,1
T001,A522,3
T001,A523,4
T001,A529,0
T001,A530,1
T001,A537,4
T001,A538,4
T001,A540,1
T001,A541,3
T001,A548,4
T001,A551,0
T001,A552,2
T001,A553,3
T001,A557,1
T001,A558,4
T001,A564,1
T001,A566,4
T001,A574,1
T001,A581,1
T001,A587,2
T001,A591,2
T001,A594,0
T001,A599,4
T001,A606,1
T001,A609,0
T001,A610,0
